ID,Full Name,Gender,Date of Birth,Checkout Date,Purpose,SOURCE,Overall Experience,NPS RATING,NPS CATEGORY,Feedback,Feedback Category,Rating,Rating Range
1,Guest 00001,Male,02-10-1993,07-04-2022,Business,Organization,3,9,Promoters,Staff attitude,Staff,Good,3
2,Guest 00002,Male,24-03-1961,05-06-2021,Business,Organization,3,10,Promoters,Check-in Process,Staff,Good,3
3,Guest 00003,Male,03-10-1981,16-01-2020,Vacation,News paper,4,4,Detractors,Room service,Room,Very good,4
4,Guest 00004,Male,31-03-2004,14-05-2022,Vacation,Search engine,5,6,Detractors,Room cleanliness,Room,Poor,1
5,Guest 00005,Male,08-08-1961,24-06-2022,Business,hotel booking sites,5,5,Detractors,Food quality,Restaurant,Very good,4
6,Guest 00006,Male,30-03-1957,28-08-2021,Function,Search engine,3,9,Promoters,Variety of food,Restaurant,Average,2
7,Guest 00007,Female,18-02-2001,04-10-2022,Vacation,Internet advertisement,4,9,Promoters,Broadband & TV,Facility,Excellent,5
8,Guest 00008,Male,27-11-1981,01-02-2020,Business,Organization,1,7,Passives,Gym,Facility,Excellent,5
9,Guest 00009,Female,28-09-1988,08-08-2020,Vacation,Television advertisement,4,9,Promoters,Staff attitude,Staff,Very good,4
10,Guest 00010,Male,24-11-1997,16-12-2020,Business,Organization,5,9,Promoters,Check-in Process,Staff,Excellent,5
11,Guest 00011,Female,31-10-1961,05-06-2020,Business,Organization,3,4,Detractors,Room service,Room,Very good,4
12,Guest 00012,Female,02-12-2004,04-05-2020,Function,News paper,4,10,Promoters,Room cleanliness,Room,Very good,4
13,Guest 00013,Female,26-10-1997,14-05-2022,Function,Organization,2,7,Passives,Food quality,Restaurant,Very good,4
14,Guest 00014,Male,21-12-1993,31-05-2020,Vacation,Internet advertisement,2,10,Promoters,Variety of food,Restaurant,Poor,1
15,Guest 00015,Female,10-07-1966,15-12-2021,Function,Word of mouth,2,8,Passives,Broadband & TV,Facility,Excellent,5
16,Guest 00016,Female,04-09-1972,27-06-2020,Vacation,Word of mouth,4,9,Promoters,Gym,Facility,Very good,4
17,Guest 00017,Male,04-05-1993,28-04-2022,Business,Search engine,5,9,Promoters,Staff attitude,Staff,Poor,1
18,Guest 00018,Female,26-12-1972,15-08-2020,Function,Search engine,5,9,Promoters,Check-in Process,Staff,Good,3
19,Guest 00019,Female,14-10-1987,08-07-2020,Business,Organization,3,3,Detractors,Room service,Room,Very good,4
20,Guest 00020,Female,28-03-1994,23-08-2021,Function,Word of mouth,5,9,Promoters,Room cleanliness,Room,Average,2
